source	dataset_scope	group	model	checkpoint	checkpoint_step	train_stage	tasks_hint	epoch_hint	path	HR@1	HR@3	HR@5	HR@10	HR@20	HR@50	NDCG@1	NDCG@3	NDCG@5	NDCG@10	NDCG@20	NDCG@50
GRec	Instruments	Instruments-rq4_cb128-128-128-128_sk0.0-0.0-0.0-0.003	qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb128-128-128-128_dsInstruments_ridFeb-10-2026-05-23-35__rid-20260213_064231	checkpoint-13660	13660	instruct-sft	item2index+seqrec+fusionseqrec	-	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb128-128-128-128_sk0.0-0.0-0.0-0.003/qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb128-128-128-128_dsInstruments_ridFeb-10-2026-05-23-35__rid-20260213_064231/checkpoint-13660/results.json	0.053471	0.084093	0.095489	0.118163	0.150362	0.210554	0.053471	0.071338	0.076010	0.083263	0.091411	0.103303
GRec	Instruments	Instruments-rq4_cb256-256-256-256_sk0.0-0.0-0.0-0.003	qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb256-256-256-256_dsInstruments_ridFeb-10-2026-05-40-47__rid-20260214_044944	checkpoint-13660	13660	instruct-sft	item2index+seqrec+fusionseqrec	-	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb256-256-256-256_sk0.0-0.0-0.0-0.003/qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb256-256-256-256_dsInstruments_ridFeb-10-2026-05-40-47__rid-20260214_044944/checkpoint-13660/results.json	0.062880	0.090346	0.103436	0.126578	0.161115	0.221716	0.062880	0.079008	0.084382	0.091879	0.100572	0.112543
GRec	Instruments	Instruments-rq4_cb32-32-32-32_sk0.0-0.0-0.0-0.003	qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb32-32-32-32_dsInstruments_ridFeb-10-2026-05-52-11__rid-20260214_000057	checkpoint-13660	13660	instruct-sft	item2index+seqrec+fusionseqrec	-	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb32-32-32-32_sk0.0-0.0-0.0-0.003/qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb32-32-32-32_dsInstruments_ridFeb-10-2026-05-52-11__rid-20260214_000057/checkpoint-13660/results.json	0.060601	0.078834	0.090697	0.110098	0.141889	0.202782	0.060601	0.070995	0.075825	0.082036	0.090021	0.102074
GRec	Instruments	Instruments-rq4_cb512-512-512-512_sk0.0-0.0-0.0-0.003	qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb512-512-512-512_dsInstruments_ridFeb-10-2026-03-29-55__rid-20260214_103627	checkpoint-13660	13660	instruct-sft	item2index+seqrec+fusionseqrec	-	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb512-512-512-512_sk0.0-0.0-0.0-0.003/qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb512-512-512-512_dsInstruments_ridFeb-10-2026-03-29-55__rid-20260214_103627/checkpoint-13660/results.json	0.068782	0.090989	0.103495	0.125818	0.159479	0.217859	0.068782	0.081722	0.086852	0.093992	0.102426	0.114011
GRec	Instruments	Instruments-rq4_cb64-64-64-64_sk0.0-0.0-0.0-0.003	qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb64-64-64-64_dsInstruments_ridFeb-10-2026-06-04-11__rid-ep15_20260212_012019	checkpoint-20490	20490	instruct-sft	item2index+seqrec+fusionseqrec	ep15 (run id)	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb64-64-64-64_sk0.0-0.0-0.0-0.003/qwen2.5-3b-instruct-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb64-64-64-64_dsInstruments_ridFeb-10-2026-06-04-11__rid-ep15_20260212_012019/checkpoint-20490/results.json	0.072756	0.090288	0.101391	0.124766	0.159596	0.219495	0.072756	0.082953	0.087532	0.095013	0.103773	0.115649
GRec	Instruments	Instruments-rq4_cb64-64-64-64_sk0.0-0.0-0.0-0.003	qwen2.5-3b-sft__idx-index_emb-qwen3-embedding-4B_rq4_cb64-64-64-64_dsInstruments_ridFeb-10-2026-06-04-11	checkpoint-4921	4921	sft	seqrec+item2index (experiment note)	ep10 (experiment note)	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb64-64-64-64_sk0.0-0.0-0.0-0.003/qwen2.5-3b-sft__idx-index_emb-qwen3-embedding-4B_rq4_cb64-64-64-64_dsInstruments_ridFeb-10-2026-06-04-11/checkpoint-4921/results.json	0.043712	0.068139	0.076613	0.094144	0.124123	0.179289	0.043712	0.057609	0.061082	0.066674	0.074212	0.085215
GRec	Instruments	Instruments-rq4_cb64-64-64-64_sk0.0-0.0-0.0-0.003	qwen2.5-3b-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb64-64-64-64_dsInstruments_ridFeb-10-2026-06-04-11__rid-20260211_055856	checkpoint-13660	13660	sft	item2index+seqrec+fusionseqrec	ep10 (experiment note)	GRec_public/results/test/seqrec-constrained/Instruments-rq4_cb64-64-64-64_sk0.0-0.0-0.0-0.003/qwen2.5-3b-sft__tasks-item2index-seqrec-fusionseqrec__idx-index_emb-qwen3-embedding-4B_rq4_cb64-64-64-64_dsInstruments_ridFeb-10-2026-06-04-11__rid-20260211_055856/checkpoint-13660/results.json	0.071470	0.086372	0.096073	0.117987	0.151999	0.213067	0.071470	0.080031	0.084024	0.091067	0.099622	0.111704
GRec	Unknown	Qwen2.5-3B-Instruct-multi-sft-index_qwen3-embedding-4B		checkpoint-43820	43820	-	-	-	GRec_public/results/test/seqrec-constrained/Qwen2.5-3B-Instruct-multi-sft-index_qwen3-embedding-4B/checkpoint-43820/results.json	0.040323	0.058672	0.067672	0.084736	0.110332	0.155388	0.040323	0.050966	0.054696	0.060151	0.066573	0.075449
GRec	Unknown	Qwen2.5-3B-Instruct-sft-index_qwen3-embedding-4B-multi		checkpoint-11645	11645	-	-	-	GRec_public/results/test/seqrec-constrained/Qwen2.5-3B-Instruct-sft-index_qwen3-embedding-4B-multi/checkpoint-11645/results.json	0.077606	0.093385	0.103962	0.123364	0.152232	0.212658	0.077606	0.086666	0.090971	0.097220	0.104472	0.116444
GRec	Unknown	Qwen2.5-7B-Instruct-sft-index_qwen3-embedding-4B-5e-5		checkpoint-12294	12294	-	-	-	GRec_public/results/test/seqrec-constrained/Qwen2.5-7B-Instruct-sft-index_qwen3-embedding-4B-5e-5/checkpoint-12294/results.json	0.076496	0.091515	0.101800	0.120851	0.150129	0.194717	0.076496	0.085222	0.089421	0.095526	0.102860	0.111779
